Date,Favorite,Spread,Underdog,Total,Away Money Line,Home Money Line,Year,Week
"September 10, 2015 8:30 PM",at Patriots,-7.0,Steelers,51.0,+270,-340,2015,1
"September 13, 2015 1:00 PM",at Jets,-4.0,Browns,40.0,+170,-190,2015,1
"September 13, 2015 1:00 PM",Dolphins,-4.0,at Redskins,46.0,-210,+175,2015,1
"September 13, 2015 1:00 PM",Colts,-1.0,at Bills,44.0,-115,-105,2015,1
"September 13, 2015 1:00 PM",Packers,-6.0,at Bears,48.0,-286,+230,2015,1
"September 13, 2015 1:00 PM",Chiefs,-1.0,at Texans,40.0,-115,-105,2015,1
"September 13, 2015 1:00 PM",Panthers,-3.0,at Jaguars,41.0,-150,+130,2015,1
"September 13, 2015 1:00 PM",Seahawks,-4.0,at Rams,42.0,-185,+160,2015,1
"September 13, 2015 4:05 PM",at Chargers,-4.0,Lions,46.0,+160,-180,2015,1
"September 13, 2015 4:05 PM",at Cardinals,-2.0,Saints,49.0,+120,-140,2015,1
"September 13, 2015 4:25 PM",at Broncos,-4.0,Ravens,46.0,+180,-220,2015,1
"September 13, 2015 4:25 PM",at Buccaneers,-3.0,Titans,40.0,+130,-150,2015,1
"September 13, 2015 4:25 PM",Bengals,-3.0,at Raiders,43.0,-154,+130,2015,1
"September 13, 2015 8:30 PM",at Cowboys,-7.0,Giants,52.0,+240,-300,2015,1
"September 14, 2015 7:10 PM",Eagles,-3.0,at Falcons,55.0,-188,+150,2015,1
"September 14, 2015 10:20 PM",Vikings,-2.0,at 49ers,42.0,-142,+120,2015,1
"September 17, 2015 8:25 PM",at Chiefs,-3.0,Broncos,42.0,+150,-170,2015,2
"September 20, 2015 1:00 PM",at Vikings,-2.0,Lions,44.0,+125,-145,2015,2
"September 20, 2015 1:00 PM",at Saints,-10.0,Buccaneers,47.0,+350,-450,2015,2
"September 20, 2015 1:00 PM",at Giants,-2.0,Falcons,50.0,+110,-130,2015,2
"September 20, 2015 1:00 PM",at Bills,-2.0,Patriots,45.0,-101,-119,2015,2
"September 20, 2015 1:00 PM",at Panthers,-3.0,Texans,41.0,+135,-155,2015,2
"September 20, 2015 1:00 PM",Cardinals,-2.0,at Bears,46.0,-125,+105,2015,2
"September 20, 2015 1:00 PM",at Bengals,-4.0,Chargers,48.0,+145,-175,2015,2
"September 20, 2015 1:00 PM",Titans,-1.0,at Browns,41.0,-120,+100,2015,2
"September 20, 2015 1:00 PM",at Steelers,-6.0,49ers,46.0,+200,-240,2015,2
