,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt
Keenan Allen,23.139,2015-09-13,NFL,SDG,,DET,W 33-28,1,1,Sun,17,15,166,11.07,0,88.2%,9.76
Julio Jones,26.223,2015-09-14,NFL,ATL,,PHI,W 26-24,1,1,Mon,11,9,141,15.67,2,81.8%,12.82
Antonio Brown,27.062,2015-09-10,NFL,PIT,@,NWE,L 21-28,1,1,Thu,11,9,133,14.78,1,81.8%,12.09
Austin Seferian-Jenkins,22.349,2015-09-13,NFL,TAM,,TEN,L 14-42,1,1,Sun,7,5,110,22.00,2,71.4%,15.71
Travis Kelce,25.343,2015-09-13,NFL,KAN,@,HOU,W 27-20,1,1,Sun,6,6,106,17.67,2,100.0%,17.67
Nate Washington,32.016,2015-09-13,NFL,HOU,,KAN,L 20-27,1,1,Sun,11,6,105,17.50,0,54.5%,9.55
Tyler Eifert,25.005,2015-09-13,NFL,CIN,@,OAK,W 33-13,1,1,Sun,12,9,104,11.56,2,75.0%,8.67
Jordan Matthews,23.060,2015-09-14,NFL,PHI,@,ATL,L 24-26,1,1,Mon,13,10,102,10.20,0,76.9%,7.85
Kendall Wright,25.305,2015-09-13,NFL,TEN,@,TAM,W 42-14,1,1,Sun,4,4,101,25.25,1,100.0%,25.25
DeAndre Hopkins,23.099,2015-09-13,NFL,HOU,,KAN,L 20-27,1,1,Sun,13,9,98,10.89,2,69.2%,7.54
Mark Ingram,25.266,2015-09-13,NFL,NOR,@,ARI,L 19-31,1,1,Sun,9,8,98,12.25,0,88.9%,10.89
Julian Edelman,29.111,2015-09-10,NFL,NWE,,PIT,W 28-21,1,1,Thu,12,11,97,8.82,0,91.7%,8.08
Rob Gronkowski,26.119,2015-09-10,NFL,NWE,,PIT,W 28-21,1,1,Thu,8,5,94,18.80,3,62.5%,11.75
Travis Benjamin,25.258,2015-09-13,NFL,CLE,@,NYJ,L 10-31,1,1,Sun,3,3,89,29.67,1,100.0%,29.67
T.Y. Hilton,25.303,2015-09-13,NFL,IND,@,BUF,L 14-27,1,1,Sun,14,7,88,12.57,0,50.0%,6.29
Larry Fitzgerald,32.013,2015-09-13,NFL,ARI,,NOR,W 31-19,1,1,Sun,8,6,87,14.50,0,75.0%,10.88
Jared Cook,28.159,2015-09-13,NFL,STL,,SEA,W 34-31,1,1,Sun,6,5,85,17.00,0,83.3%,14.17
Heath Miller,32.323,2015-09-10,NFL,PIT,@,NWE,L 21-28,1,1,Thu,11,8,84,10.50,0,72.7%,7.64
Roddy White,33.316,2015-09-14,NFL,ATL,,PHI,W 26-24,1,1,Mon,8,4,84,21.00,0,50.0%,10.50
Darren Fells,29.144,2015-09-13,NFL,ARI,,NOR,W 31-19,1,1,Sun,5,4,82,20.50,1,80.0%,16.40
Steve Johnson,28.289,2015-09-13,NFL,SDG,,DET,W 33-28,1,1,Sun,6,6,82,13.67,1,100.0%,13.67
Percy Harvin,27.108,2015-09-13,NFL,BUF,,IND,W 27-14,1,1,Sun,5,5,79,15.80,1,100.0%,15.80
Alshon Jeffery,25.211,2015-09-13,NFL,CHI,,GNB,L 23-31,1,1,Sun,11,5,78,15.60,0,45.5%,7.09
Benny Cunningham,25.068,2015-09-13,NFL,STL,,SEA,W 34-31,1,1,Sun,7,4,77,19.25,0,57.1%,11.00
Jermaine Kearse,25.219,2015-09-13,NFL,SEA,@,STL,L 31-34,1,1,Sun,10,8,76,9.50,0,80.0%,7.60
Darren Sproles,32.086,2015-09-14,NFL,PHI,@,ATL,L 24-26,1,1,Mon,9,7,76,10.86,0,77.8%,8.44
Pierre Garcon,29.036,2015-09-13,NFL,WAS,,MIA,L 10-17,1,1,Sun,8,6,74,12.33,0,75.0%,9.25
Ladarius Green,25.107,2015-09-13,NFL,SDG,,DET,W 33-28,1,1,Sun,6,5,74,14.80,1,83.3%,12.33
Jordan Cameron,27.037,2015-09-13,NFL,MIA,@,WAS,W 17-10,1,1,Sun,7,4,73,18.25,0,57.1%,10.43
Lance Dunbar,25.231,2015-09-13,NFL,DAL,,NYG,W 27-26,1,1,Sun,8,8,70,8.75,0,100.0%,8.75
Emmanuel Sanders,28.180,2015-09-13,NFL,DEN,,BAL,W 19-13,1,1,Sun,12,8,65,8.13,0,66.7%,5.42
A.J. Green,27.044,2015-09-13,NFL,CIN,@,OAK,W 33-13,1,1,Sun,8,5,63,12.60,0,62.5%,7.88
Jordan Reed,25.072,2015-09-13,NFL,WAS,,MIA,L 10-17,1,1,Sun,11,7,63,9.00,1,63.6%,5.73
Willie Snead,22.331,2015-09-13,NFL,NOR,@,ARI,L 19-31,1,1,Sun,3,1,63,63.00,0,33.3%,21.00
Mike Wallace,29.044,2015-09-14,NFL,MIN,@,SFO,L 3-20,1,1,Mon,7,6,63,10.50,0,85.7%,9.00
Brandon Marshall,31.174,2015-09-13,NFL,NYJ,,CLE,W 31-10,1,1,Sun,9,6,62,10.33,1,66.7%,6.89
Allen Hurns,23.305,2015-09-13,NFL,JAX,,CAR,L 9-20,1,1,Sun,7,5,60,12.00,0,71.4%,8.57
Demaryius Thomas,27.262,2015-09-13,NFL,DEN,,BAL,W 19-13,1,1,Sun,11,7,60,8.57,0,63.6%,5.45
Terrance Williams,25.360,2015-09-13,NFL,DAL,,NYG,W 27-26,1,1,Sun,8,5,60,12.00,0,62.5%,7.50
Jason Witten,33.130,2015-09-13,NFL,DAL,,NYG,W 27-26,1,1,Sun,9,8,60,7.50,2,88.9%,6.67
Davante Adams,22.263,2015-09-13,NFL,GNB,@,CHI,W 31-23,1,1,Sun,8,4,59,14.75,0,50.0%,7.38
Marquess Wilson,22.364,2015-09-13,NFL,CHI,,GNB,L 23-31,1,1,Sun,2,2,59,29.50,0,100.0%,29.50
Stedman Bailey,24.306,2015-09-13,NFL,STL,,SEA,W 34-31,1,1,Sun,4,3,58,19.33,0,75.0%,14.50
Darrius Heyward-Bey,28.196,2015-09-10,NFL,PIT,@,NWE,L 21-28,1,1,Thu,7,4,58,14.50,0,57.1%,8.29
Cecil Shorts,27.265,2015-09-13,NFL,HOU,,KAN,L 20-27,1,1,Sun,8,4,57,14.25,0,50.0%,7.13
Martellus Bennett,28.187,2015-09-13,NFL,CHI,,GNB,L 23-31,1,1,Sun,7,5,55,11.00,1,71.4%,7.86
David Johnson,23.271,2015-09-13,NFL,ARI,,NOR,W 31-19,1,1,Sun,2,1,55,55.00,1,50.0%,27.50
Chris Owusu,25.250,2015-09-13,NFL,NYJ,,CLE,W 31-10,1,1,Sun,6,4,55,13.75,0,66.7%,9.17
Markus Wheaton,24.215,2015-09-10,NFL,PIT,@,NWE,L 21-28,1,1,Thu,7,3,55,18.33,0,42.9%,7.86
Ted Ginn,30.154,2015-09-13,NFL,CAR,@,JAX,W 20-9,1,1,Sun,7,2,54,27.00,0,28.6%,7.71
Eric Ebron,22.156,2015-09-13,NFL,DET,@,SDG,L 28-33,1,1,Sun,5,4,53,13.25,1,80.0%,10.60
Jarvis Landry,22.289,2015-09-13,NFL,MIA,@,WAS,W 17-10,1,1,Sun,12,8,53,6.63,0,66.7%,4.42
Kyle Rudolph,25.309,2015-09-14,NFL,MIN,@,SFO,L 3-20,1,1,Mon,7,5,53,10.60,0,71.4%,7.57
Jeremy Maclin,27.125,2015-09-13,NFL,KAN,@,HOU,W 27-20,1,1,Sun,9,5,52,10.40,0,55.6%,5.78
Jimmy Graham,28.293,2015-09-13,NFL,SEA,@,STL,L 31-34,1,1,Sun,8,6,51,8.50,1,75.0%,6.38
Vincent Jackson,32.242,2015-09-13,NFL,TAM,,TEN,L 14-42,1,1,Sun,11,4,51,12.75,0,36.4%,4.64
James Jones,31.166,2015-09-13,NFL,GNB,@,CHI,W 31-23,1,1,Sun,4,4,51,12.75,2,100.0%,12.75
Dion Lewis,24.348,2015-09-10,NFL,NWE,,PIT,W 28-21,1,1,Thu,5,4,51,12.75,0,80.0%,10.20
Khiry Robinson,25.259,2015-09-13,NFL,NOR,@,ARI,L 19-31,1,1,Sun,6,5,51,10.20,0,83.3%,8.50
Cole Beasley,26.140,2015-09-13,NFL,DAL,,NYG,W 27-26,1,1,Sun,6,4,49,12.25,0,66.7%,8.17
Brandin Cooks,21.353,2015-09-13,NFL,NOR,@,ARI,L 19-31,1,1,Sun,8,4,49,12.25,0,50.0%,6.13
Dez Bryant,26.313,2015-09-13,NFL,DAL,,NYG,W 27-26,1,1,Sun,7,5,48,9.60,0,71.4%,6.86
Amari Cooper,21.087,2015-09-13,NFL,OAK,,CIN,L 13-33,1,1,Sun,9,5,47,9.40,0,55.6%,5.22
Vernon Davis,31.226,2015-09-14,NFL,SFO,,MIN,W 20-3,1,1,Mon,6,3,47,15.67,0,50.0%,7.83
John Brown,25.163,2015-09-13,NFL,ARI,,NOR,W 31-19,1,1,Sun,7,4,46,11.50,1,57.1%,6.57
Jamaal Charles,28.260,2015-09-13,NFL,KAN,@,HOU,W 27-20,1,1,Sun,8,5,46,9.20,1,62.5%,5.75
Zach Ertz,24.308,2015-09-14,NFL,PHI,@,ATL,L 24-26,1,1,Mon,8,3,46,15.33,0,37.5%,5.75
LeSean McCoy,27.063,2015-09-13,NFL,BUF,,IND,W 27-14,1,1,Sun,4,3,46,15.33,0,75.0%,11.50
Donte Moncrief,22.038,2015-09-13,NFL,IND,@,BUF,L 14-27,1,1,Sun,11,6,46,7.67,1,54.5%,4.18
Shane Vereen,26.134,2015-09-13,NFL,NYG,@,DAL,L 26-27,1,1,Sun,5,4,46,11.50,0,80.0%,9.20
Jerricho Cotchery,33.089,2015-09-13,NFL,CAR,@,JAX,W 20-9,1,1,Sun,6,4,45,11.25,1,66.7%,7.50
Phillip Dorsett,22.251,2015-09-13,NFL,IND,@,BUF,L 14-27,1,1,Sun,3,2,45,22.50,0,66.7%,15.00
Ameer Abdullah,22.092,2015-09-13,NFL,DET,@,SDG,L 28-33,1,1,Sun,4,4,44,11.00,0,100.0%,11.00
Odell Beckham,22.312,2015-09-13,NFL,NYG,@,DAL,L 26-27,1,1,Sun,8,5,44,8.80,0,62.5%,5.50
Charles Clay,26.212,2015-09-13,NFL,BUF,,IND,W 27-14,1,1,Sun,4,4,43,10.75,0,100.0%,10.75
Delanie Walker,31.032,2015-09-13,NFL,TEN,@,TAM,W 42-14,1,1,Sun,3,3,43,14.33,1,100.0%,14.33
Lance Kendricks,27.226,2015-09-13,NFL,STL,,SEA,W 34-31,1,1,Sun,2,2,42,21.00,1,100.0%,21.00
Joseph Randle,23.258,2015-09-13,NFL,DAL,,NYG,W 27-26,1,1,Sun,3,3,42,14.00,0,100.0%,14.00
Brandon Coleman,23.083,2015-09-13,NFL,NOR,@,ARI,L 19-31,1,1,Sun,7,4,41,10.25,1,57.1%,5.86
Garrett Celek,27.108,2015-09-14,NFL,SFO,,MIN,W 20-3,1,1,Mon,4,3,40,13.33,0,75.0%,10.00
Calvin Johnson,29.349,2015-09-13,NFL,DET,@,SDG,L 28-33,1,1,Sun,4,2,39,19.50,0,50.0%,9.75
Gary Barnidge,29.356,2015-09-13,NFL,CLE,@,NYJ,L 10-31,1,1,Sun,5,3,38,12.67,0,60.0%,7.60
Randall Cobb,25.022,2015-09-13,NFL,GNB,@,CHI,W 31-23,1,1,Sun,5,5,38,7.60,1,100.0%,7.60
